import time: self [us] | cumulative | imported package
import time:       440 |        440 |                 flet.controls.padding
import time:       888 |        888 |                     flet.controls.border
import time:       492 |        492 |                     flet.controls.border_radius
import time:      1204 |       1204 |                     flet.controls.gradients
import time:       741 |        741 |                     flet.controls.transform
import time:      1687 |       5011 |                   flet.controls.box
import time:       468 |        468 |                     flet.controls.blur
import time:      1435 |       1902 |                   flet.controls.painting
import time:      1097 |       8009 |                 flet.controls.text_style
import time:       612 |      14869 |               flet.controls.material.badge
import time:        65 |         65 |                     _datetime
import time:       169 |        234 |                   datetime
import time:       427 |        661 |                 flet.controls.duration
import time:       383 |        383 |                 flet.controls.margin
import time:       743 |       1786 |               flet.controls.material.tooltip
import time:       468 |      17121 |             flet.controls.control
import time:       425 |      17546 |           flet.controls.adaptive_control
import time:       907 |        907 |           flet.controls.animation
import time:       191 |        191 |             flet.controls.core
import time:       708 |        708 |             flet.controls.cupertino.cupertino_app_bar
import time:      1137 |       1137 |               flet.controls.layout_control
import time:       245 |        245 |                   flet.controls.control_state
import time:      1778 |       2023 |                 flet.controls.buttons
import time:      1678 |       3700 |               flet.controls.material.navigation_bar
import time:       974 |       5811 |             flet.controls.cupertino.cupertino_navigation_bar
import time:       881 |        881 |             flet.controls.material.app_bar
import time:       885 |        885 |             flet.controls.material.bottom_app_bar
import time:      1145 |       1145 |             flet.controls.material.floating_action_button
import time:      1139 |       1139 |             flet.controls.material.navigation_drawer
import time:      1222 |       1222 |             flet.controls.scrollable_control
import time:       192 |        192 |               flet.controls.services
import time:       536 |        727 |             flet.controls.services.service
import time:      1469 |      14176 |           flet.controls.core.view
import time:       619 |        619 |           flet.controls.dialog_control
import time:      2736 |      35982 |         flet.controls.base_page
import time:      1448 |       1448 |         flet.controls.core.window
import time:      3288 |       3288 |         flet.controls.device_info
import time:       829 |        829 |         flet.controls.multi_view
import time:       222 |        222 |         flet.controls.query_string
import time:       364 |        364 |         flet.controls.services.browser_context_menu
import time:       353 |        353 |         flet.controls.services.clipboard
import time:       362 |        362 |         flet.controls.services.shared_preferences
import time:       387 |        387 |         flet.controls.services.storage_paths
import time:       777 |        777 |         flet.controls.services.url_launcher
import time:       194 |        194 |             httpx.__version__
import time:       188 |        188 |                     email
import time:       443 |        443 |                       http
import time:       371 |        371 |                           email.errors
import time:       197 |        197 |                               email.quoprimime
import time:       134 |        134 |                               email.base64mime
import time:       192 |        192 |                                   quopri
import time:       186 |        377 |                                 email.encoders
import time:       178 |        555 |                               email.charset
import time:       458 |       1343 |                             email.header
import time:       530 |        530 |                                 calendar
import time:       250 |        780 |                               email._parseaddr
import time:       361 |       1141 |                             email.utils
import time:       243 |       2726 |                           email._policybase
import time:       357 |       3454 |                         email.feedparser
import time:       296 |       3749 |                       email.parser
import time:       244 |        244 |                         email._encoded_words
import time:       159 |        159 |                         email.iterators
import time:       449 |        851 |                       email.message
import time:       643 |       5684 |                     http.client
import time:       175 |        175 |                       urllib.response
import time:       200 |        374 |                     urllib.error
import time:       178 |        178 |                     nturl2path
import time:       817 |       7240 |                   urllib.request
import time:       341 |        341 |                   httpx._exceptions
